id	mydate	author	posts	text
150	2021-09-07	otello	#3887	Det beror på mutationer, där det krävs ett nytt vaccin. Om nästan 100% av en regions befolkning valt att vaccineras så kommer givetvis en majoritet av de som smittas vara vaccinerade.
151	2021-09-05	jori9900	#2690	Dom har hypotetiska teorier om hur det fungerar. Dom har väl på sin höjd gjort datorsimuleringar som dom baserar sitt sk vetande på.. Hur det fungerar i verkligheten på stora populationer vet dom inte.
152	2021-03-31	tenor302	#3269	Javisst.. Jag själv tillhör den stora grupp människor som vaccinerats mot säsongs-influnsa varje år. (Minst år sedan jag började med det..) Kan tänka mig att man vid behov kompletterar med även vaccin mot aktuell Covid-mutation. Man blandar i samma spruta. Ser inga stora problem med det... /T
153	2021-04-26	roofofglass	#532	Å ena sidan har folk inte rätt till nåt på Facebooks privatägda servrar som vi har gratis tillgång till enbart efter att accepterat användarvillkoren. Å andra sidan, så vann kommunister flera val i de länder där de senare kom att massmörda människor. Det är bara att radera Facebook, var och en måste ta sitt eget ansvar och lägga ner sociala medier, som nu blivit kommunismens nya mask.
154	2021-08-05	Trolltestet	#13818	Inte för paret i artikeln dock. De bor i ett land där skatter är låga och eventuella sjukvårdskostnader (samt skolgång och kostnader på det) är en privat angelägenhet. Artikeln om dem pratar ju om att de nu har svårt att få behålla såväl hus som bil. Antivaxxerrörelsen kanske kan starta en insamling till dem? Vaccinet hade dock varit gratis för dem om de hade valt att ta det.
155	2021-12-10	Melmium	#1652	Hur kan du lita mer på immunförsvaret än ett vaccin? Det är helt obegripligt. Varför tror du att vi blir vaccinerade som barn, mot stelkramp polio mässling påssjuka röda hund med mera? Jo för att de fungerar och ger skydd mot dessa sjukdomar som också är otroligt farliga. Eller är du en äkta galning som tror att mässling fungerar som vattkoppor? Det var ju folk i USA som ville ge sina barn naturlig immunitet mot mässling. Typ hälften av barnen dog.
156	2021-02-12	sovad-p1	#400	Hur länge sedan var det man började vaccinera med detta nya vaccin? Hur och när framträder ADE? Hur är de andra sorter människor? Djurtester var inte gjorda när nödgodkännandet skrev på. Det görs nu djurtester vilka ska vara klara 2023. De testpersoner som man följt i två månader innan nödgodkännandet kommer man givetvis att fortsätta följa om om flera år kommer man att ha en färdig långtidsstudie med säkerhetsdata. Att människor har fått två doser istället en har inte med ADE att göra. ADE är inte heller en direkt biverkning. Du får läsa på innan du argumenterar.
157	2021-09-06	Strumpan-2	#55	Menar du att det är en mänsklig rättighet att smitta andra med ett virus som gör väldigt många människor svårt sjuka? Konstig inställning tycker jag. Jag är också för mänskliga rättigheter och har därför tagit mitt ansvar och vaccinerat mig.
158	2021-08-11	arbetet	#27727	Det var mycket ovanligt om än inte hände alls att man dog av mässlingen i Sverige när man började vaccinera. Long COVID and kids: scientists race to find answers Children get long COVID too, but researchers are still working to determine how frequently and how severely. URL Ovanlig hyperinflammation hos barn med covid 19 kartlagd URL
159	2021-05-29	henriko	#7363	Jag har svårt att se att det ska vara allvarligare än Covid hos föräldrar och spädbarn. Men ok, detta kan mycket väl vara en orsak till att inte amma veckan närmast efter att mamman vaccinerats. Men någon sådan slutsats ser jag inte du drar. Det som är en fördel med vaccinet, är ju att man vet när man injicerat det, och man kan då tex avstå amning i en vecka. Utan vaccin, kan du få Covid när som helst, och på så sätt istället föra över komplett RNA, förmodligen både via bröstmjölken och andningsluften, som då replikerar sig exponentiellt i spädbarnet.
160	2021-06-04	Saywhaat-	#483	Egna tolkningar ,haha.. du är faktiskt roligare än vad jag först trodde.Jag ber om ursäkt för min nedlåtande ton , jag visste inte att det var ica Jerry jag pratade med.
161	2021-12-15	hasse3344	#1161	Hur mycket större risk är det att ovaccinerade sprider smitta då? Om du tar till dig information nedan anser du verkligen att effektiviteten av vaccin och faran med covid på individnivå motiverar upprepad massvaccinering av unga friska människor? Man åstadkommer ju nästan ingenting långsiktigt utanför riskgrupper . Effectiveness declined gradually thereafter, with the decline accelerating after the fourth month to reach approximately 20% in months through after the second dose URL Transmission reductions declined over time post-second vaccination, for Delta reaching similar levels to unvaccinated individuals by weeks URL The majority of the U.K.'s vaccinated population suffers from much higher infection rates than the unvaccinated population, and the situation is getting worse every day URL Surprisingly, in August 2021, the rate of positive tests among vaccinated travelers was more than double the rate among the unvaccinated, said Retsef Levi URL The introduction of the Covid Safe Ticket (CST) in Belgium did not necessarily increase the vaccination rate, but instead resulted in more coronavirus infections, says microbiologist Emmanuel André. URL Skulle kunna fortsätta med exempel, men tror att poäng är tydlig. Om vaccin minskar smittspridningen är det marginellt. Förmodligen ger mask bättre skydd men det är tydligen inte lika trendigt.
162	2021-03-16	Synitize	#364	Det är tyvärr många runt om i världen som kommer dö och lida pga sin naivitet. Till hösten när den sedvanliga flunsan kickar in kommer folk dö som flugor och det kommer såklart punmpas ut i media att det inte har något att göra med vaccinet. Vaccinet är till för att döda.
163	2021-12-15	Jahre30	#650	Just detta är så lustigt för man skulle ju vaccinera riskgrupper i Sverige men nu är man nere på åringar... I spanien börjar man vaccinera 5åringar nu... inte för deras egna skull utan för andras skull
164	2021-12-04	Sockerflickan	#1571	Intressant att det får publiceras. Detta har ju varit välkänt sedan länge egentligen då det är basic biokemi för forskare. Ingen har dock brytt sig om informationen eftersom de forskare som hörs är uppköpta av big pharma.
165	2021-06-05	Sabata	#17	Lutar väl åt att man får göra det, för att slippa bli verbalt attackerad av alla rabiata corona-fanatiker.
166	2021-10-26	UndeadNinja	#5044	Varför ljuger du? Du vet mycket väl att det inte finns någon alls som vet vad för risker det kan finnas på längre sikt med vaccin . Det är det här som är problemet. Om det hade rådit ren transparens gällande vaccin samt öppen debatt och inte en massa vinklanden, trixanden, mörkanden, censur med mera så hade kanske fler vaccinerat sig.
167	2021-09-17	GlennvonGoteborg	#7607	Vad menar du? För det första bor det nästan milj i Sverige. Och ja, det är många döda. 23.000 döda är många.
168	2021-12-28	GoodLord	#813	15340 döda med covid i Sverige bekräftade fall med covid i Sverige Det ger ca 0.012% i risk då har man inte tagit hänsyn till riskgrupper. Risken är alltså högre i riskgrupper och lägre för övriga. Datan jag räknade med kommer från c19.se idag.
169	2021-08-06	FladderFarfar	#1740	Antivaxxar räknar ont i armen, trötthet och yrsel som allvarlig biverkningar.
170	2021-09-03	Lost.Villain	#4294	Dumheter. Vilken källa har du till det? Gärna en trovärdig.
171	2021-07-29	Frispel2	#1913	Källa på att missfall är vanligare bland vaccinerade i USA nu? Det är så mycket osanningar som flyger omkring så den typen av påståenden får gärna backas upp med en källa
172	2021-09-07	Downtownkid67	#118	Du nämnde inte exemplen i bokstavsordning så det säger en hel del om dig när du sätter systembolaget på första plats. Hela vaccinerade Sverige är det de jublar mest åt med att restriktioner försvinner, möjligheten att supa gemensamt och när alla ser på. Mycket av det du nämner kan vi nyktra, friska, färdigutbildade klara oss utan. Lägg till att det säkert finns en och annan som kommer från länder där de ammats med korrupt mjölk.
173	2021-09-02	Triton5150	#304	Lyssna på Helena Edlund präst om du vill höra en bra sommarpratare som kanske öppnar dina ögon lite. URL
174	2021-06-20	Eskulap	#2021	Folk är verkligen helt dumma i huvudet. Helt oroligt. Har Covid vecka och springer och vaccinerar sig vecka 2
175	2021-06-29	p1Schwab	#1448	Du har rätt. Jag tar debatten bland vänner men proffesionellt finns inte utrymme. De av oss som ljuger när frågan poppar upp byter komiska förstående blickar.
176	2021-08-02	Hexen666	#5368	Det förändrar inte det faktum att antalet vårdtillfällen var lägre än tidigare år. Vilket betyder att risken för svennebanan att hamna på IVA inte var högre 2020, trots att det hela tiden var det vi fick höra.
177	2021-12-04	Newstyle	#1243	Jag har en fråga om det där med T-cell jungeln. Man får T-cellimmunitet av vaccin lika som vid naturlig virussmitta alltså? Vad är det som gör vaccin så dåligt, man smittar och kan bli sjuk ändå även vid dubbel. (Trippel)? Vaccindos. Sen är ju tiden på effekten av vaccin ett riktigt lågmärke måste man erkänna, 4-6månader sen dags för påfyllning är ju helt oacceptabelt och verkligen inte nåt som framgick efter första sprutan. Sen blev det snabbt att alla måste nog ta en andra för gott skydd. Och nu väldigt tätt inpå så är det nummer alla borde ta. Jag menar va fan är det för skit? Sen har dom ju dragit tillbaka några, var det moder och AZ? pga biverkning och analys som tegnell sa. Det var ett tag sen nu och man har ju inte hört nåt vad jag vet om vad dom kom fram till. Borde inte kunden/folket ha rätt att få ta del av så viktig info? Annars kan dom ju inte begära att folk bara ska ta utan att vara öppna med vilka biverkning dom drog in det för. Känns ju ganska väsentligt tycker jag!
178	2021-06-14	Intensivtklok	#5499	Du förnekade inte att du drömde om det i alla fall! :-) Att man vill ha ett krismöte om fall av hjärtmuskelinflammation, där de allra flesta idag mår bra igen (och ingen har dött), är inte konstigt eftersom det ÄR en allvarlig biverkning och man behöver studera det närmare. Det är, förutom PEG-inducerad anafylaktisk chock, de enda allvarlig biverkning som man kunnat konstatera från mRNA vaccinen. Helt naturligt, även om de är synnerligen ovanliga.
179	2021-08-06	hasse3344	#1154	Majoriteten av kunniga sa även att handsprit skulle stoppa pandemin tills vetenskapen lyckades motbevisa denna dumhet. Samma sak gäller nu. Jag följer gärna upp detta om ett år min vän. Men jag påstår helhjärtat att naturlig immunitet är det enda sättet att ta oss framåt. Att lura in unga friska människo i ett beroende av big pharma och trigga virus att mutera mot vaccin är fel väg. Det kommer i slutändan riskera riskgrupper skydd mot covid.
180	2021-09-28	St0ny	#2632	URL Första timmen i denna video visar bieffekter på molekylär nivå. Inte trevligt kan jag säga. Man får även se massa annat smått och gått, såsom metall, chromium, nickel, samt konstiga föremål som åker runt i de olika vaccin . Enjoy!
181	2021-06-14	Intensivtklok	#5499	Har du ens läst inlägget du svarar på? Det bildas inte spikprotein av vaccin och inget har heller påstått att spikproteinen är ofarliga.
182	2021-09-03	Verit	#32	Har du någon kommentar på vad professor Bryam Bridle säger ? Vad tror du om det ? URL Det här är ingen tävling, undrar bara vad du tror och tycker om det. Om du orkar läsa så skulle jag gärna höra på dina synpunkter,
183	2021-06-10	seberto	#649	Stämmer inte alls. I alla fall inte i USA. Där får de gå till domstol för att kunna använda de två kända väl fungerande substanser och det har anhöriga gjort och de vinner vasen. Hur kan nu inte se bedrägeriet som pågår.
184	2021-09-06	pizzamedmozzarella	#538	Har du lust att skriva upp namnen på forskar samt deras uttalanden så att jag kan läsa om det? Håller på att skriva om vaccinmotståndet och behöver så mycket material som möjligt från etablerade källor.
185	2021-08-08	Katastrofen1	#418	Nej, det fastställdes inte. Men även hennes väninna på äldreboendet dog två dagar senare av blodpropp och hon hade precis tagit vaccin också. Astra var det båda tog om jag förstått det rätt.
186	2021-08-08	Kalas-Kuken	#3208	Så du menar att folk som pratar om sina biverkning här måste ha en forskares underskrift? Berätta vad som är rätt väg att gå för all del..
187	2021-06-18	Alcanarcarrer	#181	Ja det var tragiskt det som hände. I en stad nära mig dog en åring man kort efter Astra vaccinering i hjärnblödning. Vi har givit 291 st doser av Astra Zeneca vaccin i Sverige fram till 06 och st av dessa har avlidit sedan de tagit vaccinet. Om vaccin är orsaken är dock inte helt klarlagt.1 636 st har haft covid 19 i Sverige och av dessa så har 574 st avlidit så även om vi skulle ge Astra Zeneca vaccin till alla i alla åldersgrupper så är covid 19 alla dagar i veckan mer farligt än vaccin som du ser.
188	2021-11-08	15minFame	#8599	Jag har läst olika media och soc media under denna tid och bildat mig denna åsikt. Jag har inte en enkel länk med en sammafattning. Ja, ni är tydligen rädda eftersom vi läser överallt om hur dumma vi är som riskerar era liiiiiv! Ingen bölar över de som inte har tagit en tbc spruta. Varför? För tbc sprutan ni fick fungerar så ni behöver inte bry er. Men vi måste stänga ner hela samhällen pga en influensa trots alla som vill har fått sin sputa. Eller lol Detta tjat om referenser. Era 'experter' har ju ändrat åsikt flera gånger. Era 'ledare' som stänger ner samhället och säger åt er att sitta i självkarantän medans de själva är ute och shoppar (tex Löfven) eller ute och reser (tex Dan Eliasson). Tycker du att det är rimligt det som händer i Australien? Det är ju sinnesjukt hur ni fortfarande tror att det är en pandemi. Det är en plandemi.
189	2021-07-30	AztecCrystal	#661	Klart det är rationella människor som styr agendan, mänskor med utbildning inom i medicinteknik är de som driver massvaccinationen framåt. Själv har jag jobbat med att framföra information om vaccin i ett år nu, och vi ser att vaccinationsgraden för första dosen närmar sig %, vilket är en imponerande siffra, nu är det bara % av befolkningen som kvarstår, mestadels foliehattar och extremister på högerkanten.
190	2021-09-08	St0ny	#2561	Ta en printscreen, sen markerar du fint vart det står ont i armen . Jag missade den rutan.
191	2021-09-05	ziggarillen	#710	Det var det sjukaste jag läst.
192	2021-06-21	MrArtur	#3038	De ligger säkerligen bakom en del injektioner. Av militär personal iaf. Så då måste Rysslands desinformation vara sanningen. Sammanfattningsvis så återfinns alla sanningar på bitchute och youtube. Och alla lögner återfinns i vetenskap publicerad i alla tidskrifter med högst impact factor världen över, med redovisade data och metoder för hur de noggrant utvärderar data och resultat. Jo tjena. Det är oroväckande att så pass många innehar denna föreställning. Jag skulle säga att det är en klockren beskrivning av en foliehatt.
193	2021-01-30	klinkerhofen	#7095	jag tänker vänta tills jag får välja vaccin onödigt att riskera hälsan pga av något vaccin med eventuella biverkning om det har för låg verkningsgrad
194	2021-10-11	KreugerGuld	#962	Spelar ingen roll hur mycket text du trycker in! Detta försvinner inte ! FDA's rigorous, scientific standards for emergency use authorization, Nödgodkänt!!
195	2021-09-04	AndersTengell	#1876	Och efter det trodde TS att alla skulle förstå poängen med att ta sprutan, nu när han förolämpat alla antivaxxers.
196	2021-05-26	Mr.Sound	#660	Känns rimligtvis sjukt, för om sanningen ska fram lär läkemedelsbolagen sitta med stånd när de får chans att driva på ett oprövat vaccin. Dessutom under en pandemi, och helt utan ansvar. Det ställer ni upp på? I USA har fall med hjärtproblem på ungdomar uppkommit. Det är en lavett som heter duga, undra hur många ytterligare som får skit för att politiker och läkemedelsbolag tycker ungdomar och även barn ska vaccineras, mot ett virus som knappt påverkar dem. URL Vi ser väl vilka som har rätt när kommer, är det foliehattarna eller är det alla som slåss om darwinpriset? Satsa era pengar!
197	2021-06-10	Leland1979	#2555	Det är inte enbart fråga om dödstal utan även om folkhälsa. Även om inte just du påverkats av en Covidinfektion så bidrar den till den allmänna smittspridningen. Det är därför vi behöver få ned spridningen bl.a. med hjälp av vaccinering. Personligen är jag mer chockad över att folk helt okritiskt insuper alla märkliga terorier kring vaccin och blandar ihop vetenskap men något man hört sägas på swebbtv. Vaccinarlamism gagnar egentligen ingen.
198	2021-09-04	Link04	#2332	All utbildning efter läkarexamen går via läkemedelsföretagen säger mina läkarpolare
199	2021-08-05	AztecCrystal	#651	De är en liten minoritet och det vet du själv. % av Sveriges befolkning har fått sin första dos vaccin. De som gör ett faktiskt motstånd mot massvaccinationen är en försumbar minoritet.
200	2021-08-05	ArganaS	#1213	Totalt världelöst svar ingen, ingen föklaring alls som alltid från dig. du kan ju inte ens besvara frågor jag ställde.
201	2021-12-13	kronhorkuken	#363	Ni som vaccinerat er är riktigt roliga Ungefär som att gå på ett bluff-sms skrivet av nån från sfi.
202	2021-05-23	sovad-p1	#412	Nu mörkar de friskt andelen kritiska medborgare som är väldigt mycket större än de vill ge sken av. Men ändå, de godtrogna är många!
203	2021-05-25	Haddock93	#7212	Där sa du en väldigt viktig poäng. Forskning ses som många i västvärlden idag som religiöst och som ej kan ifrågasättas. Om en forskare går ut med att jorden kommer gå under om år så är det faktum. Men jag tror precis som du, att allt går att korrumpera med rätta medel. Det finns mutor, hot, ideologisk övertygelse och mycket annat. Vaccinhetsningen är precis som globala uppvärmningen. Det är ett sätt för makten att skrämma upp folket för att få makt. Kolla bara på hur politiker alltid utnyttjar dessa globala fenomen . Det ska alltid börja skattas mer till politiker , vi ska sluta åka bil, alla våra friheter ska tas bort med lockdowns osv. Man bör vara skeptiskt till allt här i samhället, men samtidigt kan man inte heller leva så, det gäller att hitta en balans mellan hälsosamt ifrågasättande och accepterande. Men just nu är vi definitivt vid en tidpunkt där det gäller att vara skeptiskt mot i princip ALLT. För att just ALLT är fake. Det hör ihop lite med en teori som kallas 4th turning. Folket vaknar upp i massor mot något som man anser vara ett hot mot deras överlevnad och nation. Googla om ni vill veta mer, finns en hel del intressant om det ämnet. URL Här är ett klipp om det.
204	2021-10-21	kurt-sune	#17618	Jag är mer nyfiken på varför pro-vaxxare är så fascinerade vid andra människors personliga val och vaccinationsstatus. Att det hetsas om vaccinering från alla håll och kanter gör nog automatiskt många tveksamma är min starka tro. Det är ju ingen debatt överhuvudtaget. Det är vaccin och ännu mera vaccin som är lösningen på pandemin, enligt det officiella narrativet. När folk känner at de själva har kontrollen och inte blir övertalade eller påtvingade vaccin kommer sannolikt fler att vaccinera sig. Men där är vi knappast idag, det verkar tyvärr gå åt motsatt håll.
205	2021-11-09	KingHiss	#386	Du faller ju för det. Det är bra. Om vi inte kan omvända de så bränner vi ut de ur skog o land. Återanvänder en fras från Tyskland. Wir kennen sie nicht wir wollen sie nicht. Och en från min Favorithjälte: Mr. Smith (är själv Smed) If you are not with us then by definition you are against us. Dessa fall när antivaxxers med övertro på youtube videos och som bildar sin egna uppfattning istället för att lyssna på läkare och virologer lyssnar på Flashbajs, är perfekt propaganda.
206	2021-08-12	Natascha92	#24	Alltså när ska alla inse att du blir väldigt sjuk av vaccinet?? Typ alla i min närhet som tagit vaccin har fått olika problem allt från konstant huvudvärk, trött så dom knappt orkar ta sig upp ur sängen, ont i kroppen och nu har dessutom två stycken som står mig nära fått hjärtinfarkt ca veckor efter den andra sprutan. Varför fortsätter folk att spruta in detta gift i kroppen??! VAKNA!!!!
207	2021-09-06	vlkmslf	#679	Ovaccinerad är inte synonymt med smittad. Om du är smittad med COVID-19 så måste du enligt lag iakta viss försiktighet. Att få välja att inte vaccinera sig mot COVID-19 är dock en mänsklig rättighet, ja.
208	2021-07-21	Opaque	#4516	Kort svar : Nej. Avvakat är det som gäller. Det luktar onödig girighet från läkemedelsbolagen som har lyckats lobba politiker att köpa in en tredje dos. Tillhör inte riskgrupp, annars hade jag väl resonerat annorlunda.
209	2021-12-17	Fcuko	#659	Då vår kunskapsnivå skiljer sig åt så radikalt till din nackdel är vidare diskussion ganska meningslöst om du inte ens tagit del av aktuell data. Är du år och friskt löper du mycket låg risk för att dö, och risken för att bli allvarligt sjuk är även denna ganska låg. Dock sannolikt högre än att exempelvis drabbas av allvarlig biverkning av vaccin vilket statistiskt är än mer ovanligt. Däremot verkar du sakna någon vilja att skydda andra än dig själv då du trots att du är ung och frisk löper högre risk att smitta andra än om du vore ung, frisk och vaccinerad av det enkla faktum att du då ganska snabbt efter påbörjad infektion har en lägre koncentration viruspartiklar än den ovaccinerade.
210	2021-09-03	Siix	#5752	Du menar Ivermectin antar jag. Det har använts på människor i över mot bl.a parasiter. Det är en multi purpose-drog med oerhört bra säkerhetsprofil. De aktiva ämnena härstamnar från naturen, närmare bestämt från Japansk jord. Ganska intressant. Har t.om visat effekt på cancer. Man kan ju iaf ha lite av fakta klar innan man bestämmer sig för att rapa ur sig sina programerade förutbestämda uppfattningar. Då finns alltid chansen att lära sig något. Random amerikansk läkare Jo, men tjena. Patentet har gått ut, och ingen tjäna pengar längre och Trump var positiv till alternativ. Där har har du de stora anledningar till tunnelseendet, och varför man prompt måste lägga alla ägg i samma korg. Mycket märkligt annars med det stora motståndet mot något så säkert. Man behöver inte vara antingen eller. I en sund värld hade man använt sig av alla tänkbara alternativ. Om vi nu har en så förskräcklig Pandemi....
211	2021-06-25	Kakksakker	#574	Det tar 10-15 år att ta fram nya SÄKRA, Du har gjort bort dig och nu försvarar du det dåliga bilköpet helt naturligt att man gör så. Du är körd!
212	2021-09-08	FiF	#2309	Då har du egna antikroppar och kanske till och med T-cellsimmunitet som skyddar dig och andra. Ta för guds skull inget vaccin.
213	2021-08-05	AztecCrystal	#651	Lyssna på dig själv, du låter helt skogstokig. Du och dina vänner kommer inte göra ett skit så blås inte upp dig på internet. Statsapparaten behöver isolera galningar som dig.
214	2021-08-05	krautbrain	#2539	Empati är alltså att vaccinera sig? Men samtidigt så önskar du att hans oskyldiga föräldrar ska mördas. Var tog empatin då vägen? Försvann den i den mustiga mustaschen och gömdes bakom internetkrigarens persona? Haha du vill ju bara att allt ska återgå som förut för din egen skull. Hade empati varit något som sporrade dig hade du inte uttryckt dig så där. Eller så är det någon annan anledning till varför du vaccinerar dig men gömmer dig bakom empati för det låter vackert. Det är bra för självbilden och den frodiga mustaschen kan växa lite till.
215	2021-09-07	rusellpeters	#3268	Pilutta dig erkki Cdc.gov USAs myndighet Israel Avoid travel to Israel. If you must travel to Israel, make sure you are fully vaccinated before travel. Because of the current situation in Israel, even fully vaccinated travelers may be at risk for getting and spreading COVID-19 variants.
216	2021-10-11	Obs1234	#38	Jag beklagar såklart. Kanske du kan få en noggrann undersökning av en läkare om du ber om det? Min yngre kollega tog moder . Kollegan fick tillbaka sin epilepsi, hade varit fri från anfall under många år. Kollegan tror dock inte det hänger ihop med vaccin Många som fått moder av dom jag pratat med fick inga biverkning alls dock. Jag är väldigt skeptisk till påverkanskampanjer ,men ska tilläggas att jag önskar att jag får fel. Hoppas att du blir som vanligt snart
217	2021-10-04	kato85	#7470	Tog min första spruta tidigare i veckan, absolut noll biverkning utom lite ömhet just där sprutan tog, som alltid när man tar sprutor. Har dock hört att det ska vara andra sprutan som ev. ger ngt. så jag får återkomma. Men första sprutan var inte värre än ett bett från en myra.
218	2021-01-17	LisaLucky	#1604	Varför hör man så lite om det här vaccineringen nu egentligen?? Först var det ju värsta stora nyheten och Nobelpris nästan När de kom fram till att de har hittat vaccin äntligen. Sedan bara plötsligt tyst sedan hör man ju nästan ingen som får det längre? Var är massvaccineringen? Jag har tre bekanta som fått det. Men sedan resten bara på TV och media. Det kan inte vara speciellt svårt att vaccinera miljoner svenska invånare?? Man blir ju fan frustrerad på det här att den ska kunna gå lite fortare. om du inte sjukvården orkar med eller har tid så får de isåfall utbilda till exempel eller hemvärnet eller andra frivilligorganisationer. Att det ska vara så svårt att få fram rätt doser med vaccin tror jag inte en sekund på. Tar väl sekunder ge en intramuskulär injektion - det kvittar om man sätter den i skinkan är i axeln. Längre tiden så där tar det inte och lite sprit och en bomullstuss. Jag tror att jag själv hade klarat att ge minst tre till vaccineringar på en dag. hade du varit stycken så hade vi gjort 4000. Så Whats the problem Sweden. Varför dröjer ni??? Först så var det bara massa tjatande överallt och alla firar att nu hade vaccin kommit Hallelujah Börsen överallt i världen steg som en raket. Och nu så här sex veckor senare så vad är facit? Ja som ni förstår så skall ju så klart jag och alla andra ta vaccin för att inte fara med OT i tråden.
219	2021-06-03	Dockland	#6709	Såja, lugn och fin nu. Ingen tvingas vaccinera sig.
220	2021-09-02	portarossa	#407	Föredömligt svar, och jag har inte sett några vettiga försök till att bestrida dessa argument. Jag håller med om ovan, men tillägger: har mer neandertal-genetik än genomsnitt utsätter mig själv för högre risk för död än död i covid på daglig basis spelteori ger mig viss del av vaccinets fördelar utan dess nackdelar exponerar mig inte för smitta i hög grad om vaccin visar sig har biverkning på sikt som är allvarliga, om än otroligt osannolikt, så blir jag med konkurrenskraftig som ovaccinerad (chansen är nog högre än att vinna på lotto)
221	2021-03-18	Vetefasiken	#362	Och det spekulerades även i att det mest sannolikt underrapporterats vad gäller antal fall som har med vaxxinationen att göra. Undrar hur många fall det egentligen rör sig om och hur mången relaterade incidenter som inte ens anmäls då man själva tar beslutet att det inte har med vaxxinen att göra - vi vet alla att läkare och sjuksköterskor har gudskomplex i mången fall. Tror detta kan bli en skandal i höjd med neurosedynkatastrofen. Det får framtiden utvisa!
222	2021-10-06	Skojarn	#1071	Ja, det saknas ännu mer relevant information än så. Dels vet vi ganska säkert att blodpropp av covid inträffar under pågående infektion, men blodpropp av vaccin känner vi inte till mekanismen bakom, och det kan röra sig om permanenta förändringar i koaguleringsbiologin. Dessutom förutsätter expertens matematik att man både slipper fler vaccinationer eller covid av att genomgå vaccination. Nu vet vi att vaccin är ineffektiva och kräver påfyllnadsdoser. Så addera risken för blodpropp av att vaccinera sig hela tiden resten av livet, och addera också risken att bli sjuk i covid ändå och få blodpropp av sjukdomen. Plötsligt känns det säkrare att genomgå infektion och ha ett robust immunförsvar därefter, än att riskera blodpropp och myokardit var 6e månad livet ut.
223	2021-12-26	Raidrunk	#292	Verkar som att en New york Times reporter dog dagen efter andra sprutan. URL
224	2021-09-10	shallfin	#432	tydligen läser du mina citat/texter som fan läser bibeln. de som dör av vaccin dör av blodproppar och ju starkare immunförsvar desto större är risken. och mitt immunförsvar är är bra samt att jag har blodgrupp snyggt sätt att blanda ihop fakta till din fördel,,, nej inte alls redan haft covid, gick över på en vecka låg utslagen i dagar, men lite wiskey och sov i typ dygn
225	2021-03-21	AndersTengell	#1790	Senaste rapporterad biverkning från UK för AZ-vaccin: URL Notera att rapporterade Eye Disorders efter vaccination med AZ är 2499st. En stor del av detta beror troligtvis på blodproppar. Spännande lista att läsa, men självklart är inte allt i listan orsakat av vaccin så man får vara försiktig när man läser den men det går utan tvekan att dra vissa slutsatser även av antalet rapporterad biverkningar.
226	2021-10-20	GretaFlis	#8	Oooo, det är vaccineringen som är problemet och inte vaccinet! Åh vad jag ser fram emot rubriker som slår fast att vaccin gett noll biverkning men VACCINERINGEN orsakade lite besvär. Herrejävlar...
227	2021-10-24	System76	#106	I call bullshit! 1) Du börjar texten med att gå in i försvarsställning ( den enda kontakten du haft med sjukvården innan var pga bruten arm som ung). Fine! Kontakt med många läkare och du känner att ingen tror dig och på dina problem... 2) Om man gjort alla dessa tester men inte funnit något? Vad skulle diagnosen bli då om inte utbrändhet? Problemen du listar är antingen kardiovaskulärt eller så är det något neurologiskt problem. Celler kommunicerar inte som sig bör och det vore första gången jag läser något liknande som skulle kunna vara kopplat till vaccin om det inte är kardiovaskulära och det har man uteslutit. 3) Läkare har tystnadsplikt och det verkar föga troligt att en läkare skulle tala om för dig att flera patienter med liknande symptom skulle finnas på sjukhuset pga vaccin för att sen avsluta med rycker på axlar , månader, år eller kanske aldrig blir du frisk igen . Tramsinlägg! Livet är ingen dålig b-film från Hollywood. Bättre än så här få man nog göra ifrån sig om man ämnar dra rn lögn. Söndra och härska är populärt idag! /underskrivet en hemsk anti-vaxxer som inte tror på att reptiler bor i vita husets källare med ett enda syfte att sterilisera/mula över 90% av befolkningen. Men däremot kanske man inte är den skarpaste kniven i lådan om man köar för att ta ett experimentellt vaccin mot en tuff snuva för att prio här i livet är kunna vifta med ett covidbevis och se på fotboll live. Och försöker projicera sina rädslor på andra och deras val i att völja bort vaccin och få till drakoniska lagar gentemot oss som kan se hur vaccin var tänkt att fungera och som nu har visat sig vara värdelösa i många avseenden.
228	2021-07-24	Hexen666	#5368	Jag hoppas det är nonsens, och jag tar inget för givet. Jag hoppas helt ärligt att jag har helt fel om precis allting i den här soppan
229	2021-06-17	BagareBengt	#4012	Du är verklighetsfrånvänd, eller så låtsas du.
230	2021-07-31	johan.sthlm	#314	Tror inte de flesta här inne är vaccin-motståndare (högerextremister) utan ser med tillförsikt på utvecklingen av biverkning med bla Svininfluensa floppen i minnet. Man kan ha olika anledningar varför man är skeptisk till ett nödgodkänt vaccin, sådan förståelse verkar inte finnas. Styrkan i att några faktiskt stannar upp och ifrågasätter är viktigt, sådan empati existerar inte längre. Ett land vaccinerar just nu med en tredje dunderdos, och pratas redan om en fjärde, likt en heroinist som behöver en starkare dos för varje gång. Nånting känns jävligt fel med combon: covid+vaccin.
231	2021-08-08	AztecCrystal	#661	Duktig medborgare*. Håller tummar för att staten kan införa krav på vaccin för att delta i samhället. Så vi kan återgå till normalt nån jävla gång.
